sessionId,model,actionId,s_t_img,s_t1_img,after_yaw,after_pitch,delta_yaw,delta_pitch,init_yaw,init_pitch,t_start_ms,t_end_ms,duration_ms,server_received_ms,recovered_after_eulerZ_deg
VCURIOSITY_7,Set_10_elong_matte_2.glb,-1,,,,,,,298.2086680881048,338.3652851132136,NaN,,,1758238050966,-137.448197
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238055981-624242_before.png,1758238055981-624242_after.png,303.2086680881048,338.3652851132136,5,0,,,1758238055981,1758238056031,50,1758238056034,-139.935971
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238057021-484875_before.png,1758238057021-484875_after.png,308.2086680881048,338.3652851132136,5,0,,,1758238057020,1758238057071,51,1758238057074,-141.995317
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238057357-518325_before.png,1758238057357-518325_after.png,313.2086680881048,338.3652851132136,5,0,,,1758238057357,1758238057408,51,1758238057411,-143.686442
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238057774-713539_before.png,1758238057774-713539_after.png,318.2086680881048,338.3652851132136,5,0,,,1758238057773,1758238057825,52,1758238057829,-145.058174
VCURIOSITY_7,Set_10_elong_matte_2.glb,1,1758238058221-914977_before.png,1758238058221-914977_after.png,319.39209743068284,342.1286181735774,1.1834293425780515,3.763333060363834,,,1758238058221,1758238058275,54,1758238058279,-146.954827
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238058861-498884_before.png,1758238058861-498884_after.png,324.39209743068284,342.1286181735775,5,0,,,1758238058861,1758238058912,51,1758238058915,-148.142201
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238059070-508390_before.png,1758238059070-508390_after.png,329.39209743068284,342.1286181735774,5,0,,,1758238059070,1758238059130,60,1758238059134,-149.070967
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238059341-838724_before.png,1758238059341-838724_after.png,334.39209743068284,342.1286181735774,5,0,,,1758238059341,1758238059396,55,1758238059396,-149.768587
VCURIOSITY_7,Set_10_elong_matte_2.glb,0,1758238060382-95300_before.png,1758238060382-95300_after.png,333.58839215593696,337.634362460095,-0.8037052747458802,-4.494255713482403,,,1758238060382,1758238060439,57,1758238060439,-148.862026
VCURIOSITY_7,Set_10_elong_matte_2.glb,3,1758238060925-687959_before.png,1758238060925-687959_after.png,338.58839215593696,337.634362460095,5,0,,,1758238060925,1758238060979,54,1758238060982,-149.245478
